PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Pan, MS; Li, KY				Pan, Meng-Shiuan; Li, Kuan-Ying			ezNavi: An Easy-to-Operate Indoor Navigation System Based on Pedestrian Dead Reckoning and Crowdsourced User Trajectories	IEEE TRANSACTIONS ON MOBILE COMPUTING			English	Article						Crowdsourcing; inertial sensors; indoor navigation; pedestrian dead reckoning; smartphone	LOCALIZATION; BLUETOOTH; ALGORITHM	Recently, researchers have paid attention to designing indoor navigation services for smartphone users. Conventional indoor navigation systems highly rely on well-known indoor information and prior training phase for localization, and thus it is time- and labor-consuming to bootstrap indoor navigation services. Without too much prior configurations, the proposed indoor navigation system, called ezNavi, utilizes trajectory information (reported by users) to generate indoor pathway and point of interests (POIs). The proposed system consists of a front-end mobile application (APP) and a back-end server. The mobile APP infers users' walking trajectories according to sensory values from smartphones. The back-end server processes crowdsourced trajectories with the help of deployed Bluetooth low energy beacon devices, and then produces pathways of the indoor environment. After obtaining more trajectories, the ezNavi can further refine the derived pathways to provide more efficient guidance services for users. Our experiment and prototyping results reveal that the ezNavi can effectively derive users' walking trajectories, produces indoor pathways, and indicates directions for users.	[Pan, Meng-Shiuan] Natl Taipei Univ Technol, Dept Elect Engn, Taipei, Taiwan; [Li, Kuan-Ying] Tamkang Univ, Dept Comp Sci & Informat Engn, New Taipei, Taiwan	National Taipei University of Technology; Tamkang University	Pan, MS (corresponding author), Natl Taipei Univ Technol, Dept Elect Engn, Taipei, Taiwan.	mspan@ntut.edu.tw; 603410167@s03.tku.edu.tw		Pan, Meng-Shiuan/0000-0002-2596-7977	MOST [MOST 107-2221-E-032-017]	MOST	M.-S. Pan's research is sponsored by MOST Grant MOST 107-2221-E-032-017.		31	8	8	4	17	IEEE COMPUTER SOC	LOS ALAMITOS	10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1314 USA	1536-1233	1558-0660		IEEE T MOBILE COMPUT	IEEE. Trans. Mob. Comput.	FEB 1	2021	20	2					488	501		10.1109/TMC.2019.2946821	http://dx.doi.org/10.1109/TMC.2019.2946821			14	Computer Science, Information Systems; Telecommunications	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science; Telecommunications	PS3DB					2023-06-19	WOS:000607805200015
C	Civitarese, G; Bettini, C			IEEE	Civitarese, Gabriele; Bettini, Claudio			Monitoring Objects Manipulations to Detect Abnormal Behaviors	2017 IEEE INTERNATIONAL CONFERENCE ON PERVASIVE COMPUTING AND COMMUNICATIONS WORKSHOPS (PERCOM WORKSHOPS)	International Conference on Pervasive Computing and Communications		English	Proceedings Paper	IEEE International Conference on Pervasive Computing and Communications (PerCom)	MAR 13-17, 2017	HI	IEEE				With a growing population of elderly people the number of subjects at risk of cognitive disorders is rapidly increasing. Many research groups are studying pervasive solutions to continuously and unobtrusively monitor fragile subjects at their homes, reducing health-care costs and supporting medical diagnosis. Among the several behavioral aspects which clinicians are interested in monitoring, anomalous behaviors while performing activities of daily living are of great importance. In this work, we aim at improving the state of the art on this topic by enabling the recognition of fine-grained anomalies by detecting specific object manipulations. We attach tiny Bluetooth Low Energy accelerometers to several household objects in order to detect which manipulations are performed by the inhabitant on which object. Detected manipulations, combined with data from other environmental sensors deployed in the home, are used to infer ADLs and fine-grained abnormal behaviors. Preliminary results on a dataset with hundreds of complex activities captured in a smarthome environment show the effectiveness of the proposed method.	[Civitarese, Gabriele; Bettini, Claudio] Univ Milan, Dept Comp Sci, EveryWare Lab, Milan, Italy	University of Milan	Civitarese, G (corresponding author), Univ Milan, Dept Comp Sci, EveryWare Lab, Milan, Italy.	gabriele.civitarese@unimi.it; claudio.bettini@unimi.it	Bettini, Claudio/H-1356-2015; Civitarese, Gabriele/ABF-1022-2020	Bettini, Claudio/0000-0002-1727-7650; Civitarese, Gabriele/0000-0002-8247-2524					9	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2474-2503		978-1-5090-4338-5	INT CONF PERVAS COMP			2017														6	Computer Science, Information Systems; Computer Science, Theory & Methods; Telecommunications	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Telecommunications	BI3KB					2023-06-19	WOS:000411208400083
J	Iezzi, B; Ankireddy, K; Twiddy, J; Losego, MD; Jur, JS				Iezzi, Brian; Ankireddy, Krishnamraju; Twiddy, Jack; Losego, Mark D.; Jur, Jesse S.			Printed, metallic thermoelectric generators integrated with pipe insulation for powering wireless sensors	APPLIED ENERGY			English	Article						Thermoelectric generator; Screen printing; Internet of things; Pipe insulation; Wireless sensing network	FILMS; POLYMER	Internet of Things (IoT), coupled with advanced analytics, is poised to revolutionize manufacturing maintenance and efficiency. However, a practical route to powering these many IoT devices remains unclear. In this work, flexible thermoelectric generators (TEGs) are fabricated from low cost, screen printed silver and nickel inks before being integrated into a novel form factor device based on commercial steam pipe insulation. Through optimization of internal resistances and total device design, this 420-junction TEG device produces 308 mu W of power at a temperature difference of 127 K. This is sufficient to power a temperature sensing circuit with wireless communication capabilities. In this report we demonstrate that, after an initial 4 h of charging, this TEG can power a standard RFduino microcontroller for 10 min while sending temperature readings every 30 s via Bluetooth Low Energy (BLE) to a cell phone. Additional optimization and scaling could further increase system efficiency and provide a viable route to powering an industrial wireless sensing network (WSN).	[Iezzi, Brian; Twiddy, Jack; Jur, Jesse S.] North Carolina State Univ, Dept Text Engn Chem & Sci, Raleigh, NC 27606 USA; [Ankireddy, Krishnamraju] Univ Louisville, Conn Ctr Renewable Energy Res, Louisville, KY 40292 USA; [Losego, Mark D.] Georgia Inst Technol, Sch Mat Sci & Engn, Atlanta, GA 30332 USA	North Carolina State University; University of Louisville; University System of Georgia; Georgia Institute of Technology	Jur, JS (corresponding author), 1020 Main Campus Dr, Raleigh, NC 27606 USA.	jsjur@ncsu.edu	Losego, Mark D./A-8042-2009	Losego, Mark D./0000-0002-9810-9834; Jur, Jesse/0000-0003-0244-8645	North Carolina State University, Raleigh, NC, USA	North Carolina State University, Raleigh, NC, USA	This work was supported by a grant from North Carolina State University, Raleigh, NC, USA through the 2015 Chancellor Innovation Fund. We thank Dr. Philip Bradford and Brian Wells (NC State University) for help in sintering the printed devices and Toby Tung (NC State University) with assistance on scanning electron microscope imaging. K. Ankireddy, M. D. Losego and J. S. Jur have small equity interests in and serve as scientific advisors for Thermo-Flex Technologies, Inc., a company that may potentially benefit from the research results reported herein. The terms of these arrangements have been reviewed and approved by NC State University and the Georgia Institute of Technology in accordance with their conflict of interest policies.		31	56	57	6	98	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0306-2619	1872-9118		APPL ENERG	Appl. Energy	DEC 15	2017	208						758	765		10.1016/j.apenergy.2017.09.073	http://dx.doi.org/10.1016/j.apenergy.2017.09.073			8	Energy & Fuels; Engineering, Chemical	Science Citation Index Expanded (SCI-EXPANDED)	Energy & Fuels; Engineering	FN8UG					2023-06-19	WOS:000416300400059
C	Lin, SK; Lin, YS; Lin, CY; Chiueh, H			IEEE	Lin, Shih-Kai; Lin, Yu-Shan; Lin, Chin-Yew; Chiueh, Herming			A Smart Headband for Epileptic Seizure Detection	2017 IEEE-NIH HEALTHCARE INNOVATIONS AND POINT OF CARE TECHNOLOGIES (HI-POCT)			English	Proceedings Paper	NIH-IEEE Strategic Conference on Healthcare Innovations and Point-of-Care Technologies (HI-POCT)	NOV 06-08, 2017	Natl Inst Hlth Bethesda Campus, MD	IEEE, IEEE EMB, Natl Inst Hlth, Consortia Improving Med Innovat & Technol, Zimmer & Peacock, APDM	Natl Inst Hlth Bethesda Campus	EEG; Epileptic Seizure Detection Tag; Wearable; Wireless Transmission; System-on-Chip; SoC; Bluetooth; BLE; Smart Headband		Epilepsy is a common neural disorder disease; about 1.7% of the global population has epilepsy. Most patients take antiepileptic drugs to reduce their seizures. Among them, nearly one-third of the patients are drug-resistant epilepsy. The alternative treatment is the resection surgery of removing the epileptogenic zone. However, all above patients will still have some seizures, which will influence the patients' quality-of-life, and further introduce danger and inconvenience to patients and people around. This paper presents the design and develop of the smart headband for epileptic seizure detection. The headband consists of a textile headband with flexible print circuit (FPC) inside, and fabric electrodes on it. The whole system includes the following circuits: an analog front-end circuitry for electroencephalography (EEG) record, an epileptic seizure detection System-on-Chip (SoC), and a Bluetooth Low Energy (BLE) Chip. The result of designed circuits yields a compact and low-power design of smart headband for epileptic seizure detection which is suitable for wearable usage.	[Lin, Shih-Kai; Lin, Yu-Shan; Chiueh, Herming] Natl Chiao Tung Univ, Dept Elect & Comp Engn, Hsinchu, Taiwan; [Lin, Chin-Yew] Microsoft Res Asia, Beijing, Peoples R China	National Yang Ming Chiao Tung University; Microsoft; Microsoft Research Asia	Chiueh, H (corresponding author), Natl Chiao Tung Univ, Dept Elect & Comp Engn, Hsinchu, Taiwan.				Microsoft Research Asia [FY15-RES-THEME-052]; Ministry of Science and Technology, Taiwan [MOST 106-2314-B-002-184, MOST 106-2221-E-009-191]	Microsoft Research Asia(Microsoft); Ministry of Science and Technology, Taiwan(Ministry of Science and Technology, Taiwan)	This work is supported by Microsoft Research Asia (MSRA project number FY15-RES-THEME-052) and Ministry of Science and Technology, Taiwan (contract numbers MOST 106-2314-B-002-184 and MOST 106-2221-E-009-191.)		9	3	3	0	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-1392-4				2017							221	224						4	Engineering, Biomedical; Medical Informatics	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering; Medical Informatics	BM4MG					2023-06-19	WOS:000463495800054
C	Li, XJ; Xu, D; Wang, XZ; Muhammad, R			IEEE	Li, Xiangjie; Xu, Dan; Wang, Xuzhi; Muhammad, Rizwan			DESIGN AND IMPLEMENTATION OF INDOOR POSITIONING SYSTEM BASED ON IBEACON	PROCEEDINGS OF 2016 INTERNATIONAL CONFERENCE ON AUDIO, LANGUAGE AND IMAGE PROCESSING (ICALIP)			English	Proceedings Paper	5th International Conference on Audio, Language and Image Processing (ICALIP)	JUL 11-12, 2016	Shanghai, PEOPLES R CHINA	IEEE, IET, IEEE CIS Shanghai Chapter, IET Shanghai Local Network, Shanghai Univ, Natl Sci & Technol Near Surface Detect Lab, Shanghai Univ Engn Sci, Tongji Univ, Fudan Univ, Shanghai Jiao Tong Univ		Indoor positioning; iBeacon; Unscented Kalman filter; Euclidean distance		With the rapid increase in data and multimedia services, demand for positioning has increased especially in complex indoor environment which often needs to determine the location information of the mobile terminal. There is a lack of accuracy and robustness in current indoor positioning system. This paper designs and implements an indoor positioning system based on iBeacon. We adopt Gaussian filter and Unscented Kalman filter method to robustly extract strong signals from iBeacon device. With the extracted signals, we compared them with-in database. The goal of this paper is to design and implement a mobile-based indoor location system which has the mobile applications with the Bluetooth Low Energy technology based on the iBeacon. Using a mobile terminal our system can show position results. Moreover, our system can run on both Android systems and IOS ones. Our method has better performance compared with WiFi method. The experimental results demonstrates that the error is only within 4 meters and our system can achieve accurate and robust positioning.	[Li, Xiangjie; Xu, Dan; Wang, Xuzhi; Muhammad, Rizwan] Shanghai Univ, Sch Commun & Informat Engn, Shanghai, Peoples R China; [Li, Xiangjie; Xu, Dan; Wang, Xuzhi; Muhammad, Rizwan] Shanghai Univ, Inst Smart City, Shanghai 200444, Peoples R China	Shanghai University; Shanghai University	Li, XJ (corresponding author), Shanghai Univ, Sch Commun & Informat Engn, Shanghai, Peoples R China.; Li, XJ (corresponding author), Shanghai Univ, Inst Smart City, Shanghai 200444, Peoples R China.	lixiangjie@i.shu.edu.cn; xudanliu@shu.edu.cn	Muhammad, Dr. Rizwan/R-5074-2016	Muhammad, Dr. Rizwan/0000-0001-8903-5426	National Nature Science Foundation of China [61373084]; Innovation Program of Shanghai Municipal Education Commission [14YZ011]	National Nature Science Foundation of China(National Natural Science Foundation of China (NSFC)); Innovation Program of Shanghai Municipal Education Commission(Innovation Program of Shanghai Municipal Education Commission)	This research was partially supported by the National Nature Science Foundation of China (No.61373084) and the Innovation Program of Shanghai Municipal Education Commission (No.14YZ011).		10	10	10	0	5	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5090-0654-0				2016							126	130						5	Computer Science, Theory & Methods; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering	BH4SR					2023-06-19	WOS:000400617600024
J	Jin, J; Wu, JH; Castello, R; Manstretta, D				Jin, Jin; Wu, Jianhui; Castello, Rinaldo; Manstretta, Danilo			A 400-mu W IoT Low-IF Voltage-Mode Receiver Front-End With Charge-Sharing Complex Filter	IEEE JOURNAL OF SOLID-STATE CIRCUITS			English	Article						Complex filter; low noise amplifier (LNA); receiver front-end; ultralow power	2.4-GHZ; DESIGN; NOISE; NF; SUB-1-V	This work reports on a low-intermediate frequency (IF) voltage-mode receiver front-end for Internet-of-Things (IoT) applications. Design and noise analysis of an unbalanced gate-boosted common-gate low-noise amplifier (LNA) is presented, showing 50% lower power dissipation compared with the conventional balanced topology. Improved linearity is achieved thanks to channel-selection, consisting of two complex poles centered at 2 MHz IF. The first complex pole is embedded in the passive down-conversion mixer for improved frequency selectivity in front of the baseband voltage amplifier. Built in a 28-nm CMOS process, the proposed front-end occupies an active area of 0.175 mm(2), it is supplied with 1 V and consumes only 400 mu W, while showing a minimum noise figure (NF) of 6.8 dB and an out-of-band (OOB) IIP3 of -0.35 dBm. The performance meets Bluetooth low-energy (BLE) requirements and is competitive with other sub-mW receivers.	[Jin, Jin; Wu, Jianhui] Southeast Univ, Natl ASIC Syst Engn Res Ctr, Nanjing 210096, Peoples R China; [Castello, Rinaldo; Manstretta, Danilo] Univ Pavia, Dept Elect Comp & Biomed Engn, I-27100 Pavia, Italy	Southeast University - China; University of Pavia	Jin, J (corresponding author), Southeast Univ, Natl ASIC Syst Engn Res Ctr, Nanjing 210096, Peoples R China.	jin.jin@unipv.it; wjh@seu.edu.cn; rcastello@unipv.it; danilo.manstretta@unipv.it	Manstretta, Danilo/D-8031-2014	Manstretta, Danilo/0000-0001-6085-2668; CASTELLO, RINALDO/0000-0002-8375-3862; Jin, Jin/0000-0002-4102-6077	National Natural Science Foundation of China [61871118]	National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC))	This work was supported in part by the National Natural Science Foundation of China under Grant 61871118.		31	0	0	1	5	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	0018-9200	1558-173X		IEEE J SOLID-ST CIRC	IEEE J. Solid-State Circuit	JUL	2022	57	7					1957	1967		10.1109/JSSC.2022.3161340	http://dx.doi.org/10.1109/JSSC.2022.3161340		APR 2022	11	Engineering, Electrical & Electronic	Science Citation Index Expanded (SCI-EXPANDED)	Engineering	2O2OM					2023-06-19	WOS:000780076800001
C	Boner, S; Vogt, C; Magno, M			IEEE	Boner, Stephan; Vogt, Christian; Magno, Michele			Tiny TCN model for Gesture Recognition With Multi-point Low power ToF-Sensors	2022 IEEE INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE CIRCUITS AND SYSTEMS (AICAS 2022): INTELLIGENT TECHNOLOGY IN THE POST-PANDEMIC ERA			English	Proceedings Paper	IEEE International Conference on Artificial Intelligence Circuits and Systems (AICAS) - Intelligent Technology in the Post-Pandemic Era	JUN 13-15, 2022	Incheon, SOUTH KOREA	IEEE, CAS, Minist Sci & ICT, AI Semicond Forum, Incheon Metropolitan City, Incheon Tourism Org, Korea Tourism Org		Low power Sensors; TinyML; EdgeAI; Wearable devices; TCN; CNN; Gesture recognition		Gesture recognition is currently an important field of research, as it provides the basis for the next generation of Human Machine Interface. Especially recognizing gestures with touch-less technology has several advantages including, for example, the possibility of working with gloves either outside or in sterile environments. In this work, we present a tiny machine learning neural network model exploiting a novel, miniaturized and low power Time of flight (ToF)-sensor from STMicroelectronics. The algorithm is based on a combination of temporal convolutional networks and is optimized to work on an embedded small and low power ARM cortex-M4 processor with a few kilo Byte of RAM, as employed in every recent Bluetooth Low Energy module. A dataset has been collected with the ToF sensor for training and evaluation of the proposed algorithm. The model has been evaluated for accuracy and a trade-off between computational resources and accuracy is presented. The gesture recognition achieves a very high accuracy of over 96% over 6 different gestures.	[Boner, Stephan; Vogt, Christian; Magno, Michele] Swiss Fed Inst Technol, Dept Informat Technol & Elect Engn, Zurich, Switzerland	Swiss Federal Institutes of Technology Domain; ETH Zurich	Boner, S (corresponding author), Swiss Fed Inst Technol, Dept Informat Technol & Elect Engn, Zurich, Switzerland.			Magno, Michele/0000-0003-0368-8923					16	1	1	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-6654-0996-4				2022							356	359		10.1109/AICAS54282.2022.9869848	http://dx.doi.org/10.1109/AICAS54282.2022.9869848			4	Computer Science, Artificial Intelligence; Computer Science, Hardware & Architecture; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering	BT9CO					2023-06-19	WOS:000859273200090
C	Roth, T; Freyer, F; Hollick, M; Classen, J			IEEE Com Soc	Roth, Thomas; Freyer, Fabian; Hollick, Matthias; Classen, Jiska			AirTag of the Clones: Shenanigans with Liberated Item Finders	2022 43RD IEEE SYMPOSIUM ON SECURITY AND PRIVACY WORKSHOPS (SPW 2022)	IEEE Security and Privacy Workshops		English	Proceedings Paper	43rd IEEE Symposium on Security and Privacy (SP)	MAY 23-26, 2022	San Francisco, CA	IEEE, IEEE Comp Soc				AirTags are the first standalone devices that support Apple's Find My network. Besides being a low-cost item finder, they provide an exciting research platform into Apple's ecosystem security and privacy aspects. Each AirTag device contains a Nordic nRF52832 chip for Bluetooth Low Energy (BLE) and Near Field Communication (NFC) connectivity, as well as Apple's U1 chip for Ultra-wideband (UWB) fine ranging. In this paper, we analyze the AirTag hardware and firmware in detail and present attacks that also affect the whole AirTag ecosystem. After performing a voltage glitching attack on the nRF chip, we extract and reverse engineer the main firmware. We add firmware functionality, change capabilities, and demonstrate cloning AirTags. Moreover, we analyze the protocol used between iPhones and AirTags, unlocking undocumented commands. These commands enable limited firmware instrumentation over-the-air on unmodified AirTag hardware, including playing sound sequences and downgrading the nRF and U1 firmware.	[Roth, Thomas] Leveldown Secur, Esslingen, Germany; [Hollick, Matthias; Classen, Jiska] Tech Univ Darmstadt, SEEMOO, Darmstadt, Germany	Technical University of Darmstadt	Roth, T (corresponding author), Leveldown Secur, Esslingen, Germany.	airtag@stacksmashing.net; mail@fabianfreyer.de; mhollick@seemoo.de; jclassen@seemoo.de			German Federal Ministry of Education and Research; Hessen State Ministry for Higher Education, Research and the Arts within National Research Center for Applied Cybersecurity ATHENE	German Federal Ministry of Education and Research(Federal Ministry of Education & Research (BMBF)); Hessen State Ministry for Higher Education, Research and the Arts within National Research Center for Applied Cybersecurity ATHENE	This work has been co-funded by the German Federal Ministry of Education and Research and the Hessen State Ministry for Higher Education, Research and the Arts within their joint support of the National Research Center for Applied Cybersecurity ATHENE.		45	0	0	1	6	IEEE COMPUTER SOC	LOS ALAMITOS	10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA	2639-7862	2770-8411	978-1-6654-9643-8	IEEE SEC PRIV WORKS			2022							301	311		10.1109/SPW54247.2022.9833881	http://dx.doi.org/10.1109/SPW54247.2022.9833881			11	Computer Science, Information Systems; Computer Science, Interdisciplinary Applications	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BT8FM					2023-06-19	WOS:000853036900031
J	Li, GY; Li, J; Li, ZJ; Zhang, YP; Zhang, X; Wang, ZJ; Han, WP; Sun, B; Long, YZ; Zhang, HD				Li, Guo-Yi; Li, Jian; Li, Zhao-Jian; Zhang, Yu-Peng; Zhang, Xiao; Wang, Zi-Jun; Han, Wen-Peng; Sun, Bin; Long, Yun-Ze; Zhang, Hong-Di			Hierarchical PVDF-HFP/ZnO composite nanofiber-based highly sensitive piezoelectric sensor for wireless workout monitoring	ADVANCED COMPOSITES AND HYBRID MATERIALS			English	Article						Piezoelectric sensor; High-precision detecting; Composite fibers; Wireless workout monitoring	TRIBOELECTRIC NANOGENERATOR; ELECTRONIC-SKIN; PRESSURE SENSOR; MOTION SENSOR; WIND ENERGY; SURVEILLANCE; RUBBER	High sensitivity of sensors is extremely significant for precisely monitoring imperceptible changes of motion in real-time, which cannot be achieved by traditional piezoelectric devices. Herein, a hierarchical polyvinylidene fluoride hexafluoropropylene (PVDF-HFP)/ZnO composite nanaofiber piezoelectric sensor with highly sensitivity has been prepared through epitaxial growing ZnO nanosheets on the surface of electrospun PVDF-HFP nanofibers. Systematic investigations have shown that their optimum pressure sensing performance with a sensitivity of 1.9 V kPa(-1) and a short response time of 20 ms are achieved for forces from 0.02 to 0.5 N with excellent durability and stability up to 5000 cycles. Moreover, this sensor can precisely detect the imperceptible changes in player's motions to avoid injury from overtraining. Additionally, a Bluetooth-low-energy that tracks player's workout and transmits the output signals wirelessly to a smartphone app is utilized. The study provides a feasible approach for high-precision detecting and safety monitoring in the fields of medical, rehabilitation medicine, and workout security.	[Li, Guo-Yi; Zhang, Yu-Peng; Zhang, Xiao; Wang, Zi-Jun; Han, Wen-Peng; Long, Yun-Ze; Zhang, Hong-Di] Qingdao Univ, Coll Phys, Collaborat Innovat Ctr Nanomat & Devices, Qingdao 266071, Peoples R China; [Li, Jian] Qingdao Univ, Sch Phys Educ, Qingdao 266071, Peoples R China; [Li, Zhao-Jian] Qingdao Univ, Dept Neurosurg, Affiliated Hosp, 16 Rd, Qingdao 266003, Jiangsu, Peoples R China; [Sun, Bin] Qingdao Univ, Coll Microtechnol & Nanotechnol, Qingdao 266071, Peoples R China; [Sun, Bin] Qingdao Univ, Weihai Innovat Res Inst, Weihai 264200, Peoples R China	Qingdao University; Qingdao University; Qingdao University; Qingdao University; Qingdao University	Long, YZ; Zhang, HD (corresponding author), Qingdao Univ, Coll Phys, Collaborat Innovat Ctr Nanomat & Devices, Qingdao 266071, Peoples R China.; Sun, B (corresponding author), Qingdao Univ, Coll Microtechnol & Nanotechnol, Qingdao 266071, Peoples R China.; Sun, B (corresponding author), Qingdao Univ, Weihai Innovat Res Inst, Weihai 264200, Peoples R China.	qdusun@qdu.edu.cn; yunze.long@163.com; hongdi_zhang@163.com	Han, Wenpeng/Z-2041-2019; Li, Guoyi/AAJ-9146-2021; Wang, Zijun/AAR-7277-2021	Long, Yun-Ze/0000-0002-4278-4515	Shandong Provincial Natural Science Foundation, China [ZR2020MA066, ZR2020ME193]; Shandong Natural Science Funds for Distinguished Young Scholar [ZR2020JQ20]	Shandong Provincial Natural Science Foundation, China(Natural Science Foundation of Shandong Province); Shandong Natural Science Funds for Distinguished Young Scholar	This work was supported by the Shandong Provincial Natural Science Foundation, China (ZR2020MA066, ZR2020ME193) and the Shandong Natural Science Funds for Distinguished Young Scholar (ZR2020JQ20).		54	63	62	35	111	SPRINGERNATURE	LONDON	CAMPUS, 4 CRINAN ST, LONDON, N1 9XW, ENGLAND	2522-0128	2522-0136		ADV COMPOS HYBRID MA	Adv. Compos. Hybrid Mater.	JUN	2022	5	2					766	775		10.1007/s42114-021-00331-z	http://dx.doi.org/10.1007/s42114-021-00331-z		AUG 2021	10	Nanoscience & Nanotechnology; Materials Science, Composites	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics; Materials Science	3C1DN					2023-06-19	WOS:000690346300001
C	Kitbutrawat, N; Kajita, S; Yamaguchi, H; Higashino, T			IEEE	Kitbutrawat, Nathavuth; Kajita, Shugo; Yamaguchi, Hirozumi; Higashino, Teruo			Location Identification of BLE-Embedded HVACs for Smart Building Management	2018 14TH INTERNATIONAL CONFERENCE ON INTELLIGENT ENVIRONMENTS (IE 2018)	International Conference on Intelligent Environments		English	Proceedings Paper	14th International Conference on Intelligent Environments (IE)	JUN 25-28, 2018	Sapienza Univ Roma, Dipartimento Ingn Informatica, Automatica & Gestionale, Roma, ITALY	Midddlesex Univ London, IE Steering Comm, IEEE Syst, Man, & Cybernet soc, IOS Press, Assoc Advancement Artificial Intelligence	Sapienza Univ Roma, Dipartimento Ingn Informatica, Automatica & Gestionale			Bluetooth Low Energy (BLE) is a promising technique for creating a cost-effective network to manage and control the BLE equipped equipment of buildings such as HVACs and lighting equipment, and the BLE network addresses can be used to identify the equipment. In order to enable the management (actuation and control) of equipment via BLE, each BLE network address must be linked with the physical location of equipment. However, the manual location identification effort is labour-intensive and time-consuming. In this paper, we introduce our basic idea to handle this issue and show a preliminary experimental result. The idea is to design semi-automatic position estimation technique by leveraging the change in RSSI of BLE devices during walking. Our method requires only one tester to carry a smartphone and walk around the building to collect the RSSI. We deployed 10 BLE devices to conduct the preliminary experiment in a single room. The result shows that the locations of 80% BLE devices are correctly identified.	[Kitbutrawat, Nathavuth; Kajita, Shugo; Yamaguchi, Hirozumi; Higashino, Teruo] Osaka Univ, Grad Sch Informat Sci & Technol, Osaka, Japan	Osaka University	Kitbutrawat, N (corresponding author), Osaka Univ, Grad Sch Informat Sci & Technol, Osaka, Japan.	nat-kit@ist.osaka-u.ac.jp; s-kajita@ist.osaka-u.ac.jp; h-yamagu@ist.osaka-u.ac.jp; higashino@ist.osaka-u.ac.jp		Yamaguchi, Hirozumi/0000-0003-2273-4876	JSPS KAKENHI [15H02690]; Grants-in-Aid for Scientific Research [15H02690] Funding Source: KAKEN	JSPS KAKENHI(Ministry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of ScienceGrants-in-Aid for Scientific Research (KAKENHI)); Grants-in-Aid for Scientific Research(Ministry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of ScienceGrants-in-Aid for Scientific Research (KAKENHI))	This work was supported in part by JSPS KAKENHI 15H02690.		10	4	4	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2469-8792		978-1-5386-6844-3	INT CONF INTEL ENVIR			2018							79	82		10.1109/IE.2018.00019	http://dx.doi.org/10.1109/IE.2018.00019			4	Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BM1HR					2023-06-19	WOS:000459817400011
